,Name_URL,Name,Name1,CoreCount,PerformanceCoreClock,PerformanceBoostClock,TDP,IntegratedGraphics,SMT
49,https://pcpartpicker.com/product/sxDzK8/intel-core-i7-8700k-37ghz-6-core-processor-bx80684i78700k,https://cdna.pcpartpicker.com/static/forever/images/product/d7dea28613ac935e748d330d16ffea69.256p.jpg,intel core i7-8700k,6,3.7,4.7,95.0,Intel UHD Graphics 630,Yes
50,https://pcpartpicker.com/product/PCvqqs/intel-core-i7-10700f-29-ghz-8-core-processor-bx8070110700f,https://m.media-amazon.com/images/I/41P4d+8jqLL.jpg,intel core i7-10700f,8,2.9,4.8,65.0,None,Yes
51,https://pcpartpicker.com/product/qtqBD3/intel-core-i3-10100-36-ghz-quad-core-processor-bx8070110100,https://m.media-amazon.com/images/I/419h1NMeqvL.jpg,intel core i3-10100,4,3.6,4.3,65.0,Intel UHD Graphics 630,Yes
52,https://pcpartpicker.com/product/J8drxr/amd-ryzen-3-3200g-36-ghz-quad-core-processor-yd3200c5fhbox,https://cdna.pcpartpicker.com/static/forever/images/product/3567a863156c083a7d4c8fcb7e0dbdac.256p.jpg,amd ryzen 3 3200g,4,3.6,4.0,65.0,Radeon Vega 8,No
53,https://pcpartpicker.com/product/HcPgXL/intel-core-i5-10600k-41-ghz-6-core-processor-bx8070110600k,https://cdna.pcpartpicker.com/static/forever/images/product/cec5ee818776737baefc9603bdbf9391.256p.jpg,intel core i5-10600k,6,4.1,4.8,125.0,Intel UHD Graphics 630,Yes
54,https://pcpartpicker.com/product/hvC48d/intel-core-i5-12500-3-ghz-6-core-processor-bx8071512500,https://cdna.pcpartpicker.com/static/forever/images/product/a2eebdda7c48c480719d4cb491f660dc.256p.jpg,intel core i5-12500,6,3.0,4.6,65.0,Intel UHD Graphics 770,Yes
55,https://pcpartpicker.com/product/p6jNnQ/intel-core-i5-10600kf-41-ghz-6-core-processor-bx8070110600kf,https://cdna.pcpartpicker.com/static/forever/images/product/d28d05f1c9972e51ef212760baca9612.256p.jpg,intel core i5-10600kf,6,4.1,4.8,125.0,None,Yes
56,https://pcpartpicker.com/product/nGFKHx/intel-core-i9-10850k-36-ghz-10-core-processor-bx8070110850k,https://cdna.pcpartpicker.com/static/forever/images/product/946ac0c7e2b18eb12fd3fde8fa8de1dc.256p.jpg,intel core i9-10850k,10,3.6,5.2,125.0,Intel UHD Graphics 630,Yes
57,https://pcpartpicker.com/product/sT3mP6/intel-core-i7-10700kf-38-ghz-8-core-processor-bx8070110700kf,https://cdna.pcpartpicker.com/static/forever/images/product/30a49f42fca8cbf7e1627bf13d37a6e7.256p.jpg,intel core i7-10700kf,8,3.8,5.1,125.0,None,Yes
58,https://pcpartpicker.com/product/VKx9TW/intel-core-i7-7700k-42ghz-quad-core-processor-bx80677i77700k,https://cdna.pcpartpicker.com/static/forever/images/product/e466732c63d1d636cf13e256bb7cf5ff.256p.jpg,intel core i7-7700k,4,4.2,4.5,91.0,Intel HD Graphics 630,Yes
59,https://pcpartpicker.com/product/Fgt9TW/intel-core-i7-11700kf-36-ghz-8-core-processor-bx8070811700kf,https://cdna.pcpartpicker.com/static/forever/images/product/965ab64fbbbf1a096201650af8b88699.256p.jpg,intel core i7-11700kf,8,3.6,5.0,125.0,None,Yes
60,https://pcpartpicker.com/product/drBG3C/amd-ryzen-3-4100-38-ghz-quad-core-processor-100-100000510box,https://cdna.pcpartpicker.com/static/forever/images/product/43c4d752d1441ed420dd80502e718918.256p.jpg,amd ryzen 3 4100,4,3.8,4.0,65.0,None,Yes
61,https://pcpartpicker.com/product/6mm323/amd-ryzen-5-2600x-36ghz-6-core-processor-yd260xbcafbox,https://cdna.pcpartpicker.com/static/forever/images/product/55aea2dd64e2e3a3e3b1d678048d8d76.256p.jpg,amd ryzen 5 2600x,6,3.6,4.2,95.0,None,Yes
62,https://pcpartpicker.com/product/664BD3/amd-athlon-3000g-35-ghz-dual-core-processor-yd3000c6fhbox,https://cdna.pcpartpicker.com/static/forever/images/product/4cca7584d65df7a4e4b5298805e9552f.256p.jpg,amd athlon 3000g (14nm),2,3.5,,35.0,Radeon Vega 3,Yes
63,https://pcpartpicker.com/product/tdmxFT/intel-cpu-bx80662i76700k,https://cdna.pcpartpicker.com/static/forever/images/product/614a9c530cce56d1fafbc5ba97920ab1.256p.jpg,intel core i7-6700k,4,4.0,4.2,91.0,Intel HD Graphics 530,Yes
64,https://pcpartpicker.com/product/28qhP6/intel-core-i5-9600k-37ghz-6-core-processor-bx80684i59600k,https://cdna.pcpartpicker.com/static/forever/images/product/33f96aec821c5c10f4b1fd636a7d1881.256p.jpg,intel core i5-9600k,6,3.7,4.6,95.0,Intel UHD Graphics 630,No
65,https://pcpartpicker.com/product/kNyqqs/amd-ryzen-9-3960x-38-ghz-24-core-processor-100-100000010wof,https://cdna.pcpartpicker.com/static/forever/images/product/3ada9b0ee52763b884f3f76b681846ad.256p.jpg,amd threadripper 3960x,24,3.8,4.5,280.0,None,Yes
66,https://pcpartpicker.com/product/rkwkcf/amd-threadripper-3970x-37-ghz-32-core-processor-100-100000011wof,https://cdna.pcpartpicker.com/static/forever/images/product/f2cacb6e0f6003d798989357654aff3c.256p.jpg,amd threadripper 3970x,32,3.7,4.5,280.0,None,Yes
67,https://pcpartpicker.com/product/mV98TW/amd-ryzen-5-1600-32ghz-6-core-processor-yd1600bbaebox,https://cdna.pcpartpicker.com/static/forever/images/product/71be15e31e700684bc9c8fb697bd4f11.256p.jpg,amd ryzen 5 1600 (14nm),6,3.2,3.6,65.0,None,Yes
