,Name_URL,Name,Name1,FormFactor,EfficiencyRating,Wattage,Modular,Color
1508,https://pcpartpicker.com/product/Tf7CmG/antec-power-supply-vp650p,https://images-na.ssl-images-amazon.com/images/I/31d2Vv%2BHXrL.jpg,antec basiq,ATX,,650,No,
1509,https://pcpartpicker.com/product/sRW9TW/thermaltake-power-supply-tpx1275m,https://m.media-amazon.com/images/I/41XZCxGlVKL.jpg,thermaltake toughpower xt,ATX,80+ Platinum,1275,Semi,
1510,https://pcpartpicker.com/product/8hH323/hec-power-supply-hec200safx,https://pcpartpicker.com/static/forever/img/no-image.png,hec hec200safx,Mini ITX,,200,No,
1511,https://pcpartpicker.com/product/wGPgXL/rosewill-rd-z-450-w-80-certified-atx-power-supply-rd-450z,https://cdna.pcpartpicker.com/static/forever/images/product/373d0972d93ccb2fa3e132cada2867de.256p.jpg,rosewill rd-z,ATX,80+,450,No,Black
1512,https://pcpartpicker.com/product/tJLypg/athena-power-400-w-80-bronze-certified-tfx-power-supply-ap-tfx40,https://m.media-amazon.com/images/I/417imnsjizL.jpg,athena power ap-tfx40,TFX,80+ Bronze,400,No,
1513,https://pcpartpicker.com/product/TR3RsY/antec-power-supply-neoeco400c,https://images-na.ssl-images-amazon.com/images/I/51RecSplEmL.jpg,antec neoeco,ATX,80+,400,No,
1514,https://pcpartpicker.com/product/fjxfrH/antec-power-supply-tp550,https://m.media-amazon.com/images/I/51c2DehrQRL.jpg,antec true power,ATX,80+ Bronze,550,Full,
1515,https://pcpartpicker.com/product/LnvRsY/antec-power-supply-tp750blue,https://m.media-amazon.com/images/I/5193kl2FptL.jpg,antec true power,ATX,80+ Bronze,750,Full,
1516,https://pcpartpicker.com/product/GDH323/antec-power-supply-tpq1000,https://images-na.ssl-images-amazon.com/images/I/41Odt-Im9sL.jpg,antec true power,ATX,80+ Bronze,1000,Full,
1517,https://pcpartpicker.com/product/j7jG3C/compucase-power-supply-hp585dretail,https://m.media-amazon.com/images/I/312eu5KWbtL.jpg,hec hp585d retail,ATX,,585,No,
1518,https://pcpartpicker.com/product/CVzv6h/cooler-master-power-supply-rs650acaae3us,https://m.media-amazon.com/images/I/51i3r1kYvFL.jpg,cooler master gx,ATX,80+,650,No,
1519,https://pcpartpicker.com/product/9LTmP6/coolmax-power-supply-vl600b,https://images-na.ssl-images-amazon.com/images/I/51CLN66hlzL.jpg,coolmax vl-600b,ATX,,600,No,
1520,https://pcpartpicker.com/product/zdQypg/raidmax-power-supply-rx450k,https://images-na.ssl-images-amazon.com/images/I/41yIV8nM3VL.jpg,raidmax rx-450k,ATX,,450,No,
1521,https://pcpartpicker.com/product/N4W9TW/rosewill-power-supply-lightning800,https://images-na.ssl-images-amazon.com/images/I/517Nyk3jzsL.jpg,rosewill lightning,ATX,80+ Gold,800,Semi,
1522,https://pcpartpicker.com/product/ctTmP6/thermaltake-power-supply-tpx575m,https://images-na.ssl-images-amazon.com/images/I/51FdamNV%2BML.jpg,thermaltake toughpower xt,ATX,80+ Bronze,575,Full,
1523,https://pcpartpicker.com/product/cg6BD3/silverstone-power-supply-sstst75fgevolution,https://cdna.pcpartpicker.com/static/forever/images/product/61cbc9cb31678f471ad6d0e3d9a63def.med.256p.jpg,silverstone strider,ATX,80+ Gold,750,Full,
1524,https://pcpartpicker.com/product/rQbp99/zalman-power-supply-zm1000hp,https://images-na.ssl-images-amazon.com/images/I/51W2cXHWO2L.jpg,zalman zm1000-hp,ATX,80+,1000,Full,
1525,https://pcpartpicker.com/product/LZsKHx/enermax-revolution-xt-730-w-80-gold-certified-semi-modular-atx-power-supply-erx730awt,https://images-na.ssl-images-amazon.com/images/I/51XvvzwRi2L.jpg,enermax revolution x't,ATX,80+ Gold,730,Semi,
1526,https://pcpartpicker.com/product/XwhmP6/gamemax-gm-1350-w-80-gold-certified-atx-power-supply-gm-1350,https://cdna.pcpartpicker.com/static/forever/images/product/c3a0a922ffa19044863f5575fac74f74.256p.jpg,gamemax gm,ATX,80+ Gold,1350,No,Black
